p,d,q,P,D,Q,season,value
1.0,1.0,3.0,0.0,1.0,0.0,5.0,25.498799037670125
1.0,1.0,3.0,0.0,1.0,1.0,5.0,13.42596157131681
1.0,1.0,3.0,0.0,1.0,2.0,5.0,13.333487799768834
1.0,1.0,3.0,0.0,1.0,3.0,5.0,13.323663437902422
1.0,1.0,3.0,1.0,1.0,0.0,5.0,20.763878758329
1.0,1.0,3.0,1.0,1.0,1.0,5.0,13.338594833191468
1.0,1.0,3.0,1.0,1.0,2.0,5.0,13.426232110160644
1.0,1.0,3.0,1.0,1.0,3.0,5.0,13.30986820248226
1.0,1.0,3.0,2.0,1.0,0.0,5.0,18.22446175606757
1.0,1.0,3.0,2.0,1.0,1.0,5.0,13.329168188305518
1.0,1.0,3.0,2.0,1.0,2.0,5.0,13.309517420502058
1.0,1.0,3.0,2.0,1.0,3.0,5.0,13.286094472656112
1.0,1.0,3.0,3.0,1.0,0.0,5.0,17.4679438826031
1.0,1.0,3.0,3.0,1.0,1.0,5.0,13.322291984901389
1.0,1.0,3.0,3.0,1.0,2.0,5.0,13.308411447402134
1.0,1.0,3.0,3.0,1.0,3.0,5.0,13.240974668872676
2.0,1.0,0.0,0.0,1.0,0.0,5.0,29.1415760205615
2.0,1.0,0.0,0.0,1.0,1.0,5.0,13.455316022772092
2.0,1.0,0.0,0.0,1.0,2.0,5.0,13.348089774365388
2.0,1.0,0.0,0.0,1.0,3.0,5.0,13.339146358391456
2.0,1.0,0.0,1.0,1.0,0.0,5.0,20.874787567418572
2.0,1.0,0.0,1.0,1.0,1.0,5.0,13.35340516543711
2.0,1.0,0.0,1.0,1.0,2.0,5.0,13.455723482919984
2.0,1.0,0.0,1.0,1.0,3.0,5.0,13.323778608924007
2.0,1.0,0.0,2.0,1.0,0.0,5.0,18.22508083078264
2.0,1.0,0.0,2.0,1.0,1.0,5.0,13.344065194901303
2.0,1.0,0.0,2.0,1.0,2.0,5.0,13.322503713101295
2.0,1.0,0.0,2.0,1.0,3.0,5.0,13.29904644860699
2.0,1.0,0.0,3.0,1.0,0.0,5.0,17.469628738187996
2.0,1.0,0.0,3.0,1.0,1.0,5.0,13.339282389281498
2.0,1.0,0.0,3.0,1.0,2.0,5.0,13.321633483011947
2.0,1.0,0.0,3.0,1.0,3.0,5.0,13.24391397755284
2.0,1.0,1.0,0.0,1.0,0.0,5.0,26.130913452750274
2.0,1.0,1.0,0.0,1.0,1.0,5.0,13.534160913775692
2.0,1.0,1.0,0.0,1.0,2.0,5.0,13.334278494444574
2.0,1.0,1.0,0.0,1.0,3.0,5.0,13.325206298981579
2.0,1.0,1.0,1.0,1.0,0.0,5.0,19.749732777471763
2.0,1.0,1.0,1.0,1.0,1.0,5.0,13.33993844605661
2.0,1.0,1.0,1.0,1.0,2.0,5.0,13.289031814272592
2.0,1.0,1.0,1.0,1.0,3.0,5.0,13.311207458686416
2.0,1.0,1.0,2.0,1.0,0.0,5.0,17.628962283572843
2.0,1.0,1.0,2.0,1.0,1.0,5.0,13.33108298884633
2.0,1.0,1.0,2.0,1.0,2.0,5.0,13.306268184204763
2.0,1.0,1.0,2.0,1.0,3.0,5.0,13.3100391703905
2.0,1.0,1.0,3.0,1.0,0.0,5.0,17.015739575929704
