p,d,q,P,D,Q,season,value
1.0,1.0,2.0,1.0,1.0,2.0,5.0,24913.81712043703
1.0,1.0,2.0,1.0,1.0,3.0,5.0,24874.340104910916
1.0,1.0,2.0,2.0,1.0,0.0,5.0,26284.368610309964
1.0,1.0,2.0,2.0,1.0,1.0,5.0,24878.8023735498
1.0,1.0,2.0,2.0,1.0,2.0,5.0,24874.142061538972
1.0,1.0,2.0,2.0,1.0,3.0,5.0,24868.38174125836
1.0,1.0,2.0,3.0,1.0,0.0,5.0,26093.044384876495
1.0,1.0,2.0,3.0,1.0,1.0,5.0,24878.387349043325
1.0,1.0,2.0,3.0,1.0,2.0,5.0,24875.96508752871
1.0,1.0,2.0,3.0,1.0,3.0,5.0,24859.445983047415
1.0,1.0,3.0,0.0,1.0,0.0,5.0,27827.257208302704
1.0,1.0,3.0,0.0,1.0,1.0,5.0,24910.040675913995
1.0,1.0,3.0,0.0,1.0,2.0,5.0,24880.257403510845
1.0,1.0,3.0,0.0,1.0,3.0,5.0,24878.85395911785
1.0,1.0,3.0,1.0,1.0,0.0,5.0,26879.868699799215
1.0,1.0,3.0,1.0,1.0,1.0,5.0,24882.02116089502
1.0,1.0,3.0,1.0,1.0,2.0,5.0,24914.021853230162
1.0,1.0,3.0,1.0,1.0,3.0,5.0,24876.345385661378
1.0,1.0,3.0,2.0,1.0,0.0,5.0,26286.404875828102
1.0,1.0,3.0,2.0,1.0,1.0,5.0,24880.760344969152
1.0,1.0,3.0,2.0,1.0,2.0,5.0,24876.026509935324
1.0,1.0,3.0,2.0,1.0,3.0,5.0,24870.335098561016
1.0,1.0,3.0,3.0,1.0,0.0,5.0,26095.07044706557
1.0,1.0,3.0,3.0,1.0,1.0,5.0,24880.383052420584
1.0,1.0,3.0,3.0,1.0,2.0,5.0,24877.855488928668
1.0,1.0,3.0,3.0,1.0,3.0,5.0,24860.9562479038
2.0,1.0,0.0,0.0,1.0,0.0,5.0,28422.89109528526
2.0,1.0,0.0,0.0,1.0,1.0,5.0,24915.865203812657
2.0,1.0,0.0,0.0,1.0,2.0,5.0,24881.148029808304
2.0,1.0,0.0,0.0,1.0,3.0,5.0,24880.048331060076
2.0,1.0,0.0,1.0,1.0,0.0,5.0,26900.225493856266
2.0,1.0,0.0,1.0,1.0,1.0,5.0,24882.983388268804
2.0,1.0,0.0,1.0,1.0,2.0,5.0,24919.759035018844
2.0,1.0,0.0,1.0,1.0,3.0,5.0,24876.79942980793
2.0,1.0,0.0,2.0,1.0,0.0,5.0,26282.589489465303
2.0,1.0,0.0,2.0,1.0,1.0,5.0,24881.748602203737
2.0,1.0,0.0,2.0,1.0,2.0,5.0,24876.377299172003
2.0,1.0,0.0,2.0,1.0,3.0,5.0,24870.531575836038
2.0,1.0,0.0,3.0,1.0,0.0,5.0,26091.53689656198
2.0,1.0,0.0,3.0,1.0,1.0,5.0,24882.09730058146
2.0,1.0,0.0,3.0,1.0,2.0,5.0,24878.092772533506
2.0,1.0,0.0,3.0,1.0,3.0,5.0,24858.049806243136
2.0,1.0,1.0,0.0,1.0,0.0,5.0,27930.484651609102
2.0,1.0,1.0,0.0,1.0,1.0,5.0,24944.316027930927
2.0,1.0,1.0,0.0,1.0,2.0,5.0,24878.53350291442
2.0,1.0,1.0,0.0,1.0,3.0,5.0,24877.198170976153
2.0,1.0,1.0,1.0,1.0,0.0,5.0,26652.786885175898
2.0,1.0,1.0,1.0,1.0,1.0,5.0,24880.48571047827
2.0,1.0,1.0,1.0,1.0,2.0,5.0,24867.43268268391
2.0,1.0,1.0,1.0,1.0,3.0,5.0,24874.435781547356
2.0,1.0,1.0,2.0,1.0,0.0,5.0,26136.12102679791
2.0,1.0,1.0,2.0,1.0,1.0,5.0,24879.482786095636
2.0,1.0,1.0,2.0,1.0,2.0,5.0,24874.660926942895
2.0,1.0,1.0,2.0,1.0,3.0,5.0,24876.32553918592
2.0,1.0,1.0,3.0,1.0,0.0,5.0,25976.597671314565
2.0,1.0,1.0,3.0,1.0,1.0,5.0,24879.820523324648
2.0,1.0,1.0,3.0,1.0,2.0,5.0,24876.116721988503
2.0,1.0,1.0,3.0,1.0,3.0,5.0,24866.831805660608
2.0,1.0,2.0,0.0,1.0,0.0,5.0,27172.9306217543
2.0,1.0,2.0,0.0,1.0,1.0,5.0,24898.861317439798
2.0,1.0,2.0,0.0,1.0,2.0,5.0,24880.19182254802
2.0,1.0,2.0,0.0,1.0,3.0,5.0,24878.80944341347
2.0,1.0,2.0,1.0,1.0,0.0,5.0,26201.029915865423
2.0,1.0,2.0,1.0,1.0,1.0,5.0,24881.99433239706
2.0,1.0,2.0,1.0,1.0,2.0,5.0,24902.30410759255
2.0,1.0,2.0,1.0,1.0,3.0,5.0,24876.87755879935
2.0,1.0,2.0,2.0,1.0,0.0,5.0,26286.28544567781
2.0,1.0,2.0,2.0,1.0,1.0,5.0,24880.718460995653
2.0,1.0,2.0,2.0,1.0,2.0,5.0,24875.914191153734
2.0,1.0,2.0,2.0,1.0,3.0,5.0,24870.344662453143
2.0,1.0,2.0,3.0,1.0,0.0,5.0,26094.9882413472
2.0,1.0,2.0,3.0,1.0,1.0,5.0,24880.37971713488
2.0,1.0,2.0,3.0,1.0,2.0,5.0,24879.420890193764
2.0,1.0,2.0,3.0,1.0,3.0,5.0,24866.244204010196
2.0,1.0,3.0,0.0,1.0,0.0,5.0,27140.436865680495
2.0,1.0,3.0,0.0,1.0,1.0,5.0,24900.56751992395
2.0,1.0,3.0,0.0,1.0,2.0,5.0,24882.105111043325
2.0,1.0,3.0,0.0,1.0,3.0,5.0,24880.72529343004
2.0,1.0,3.0,1.0,1.0,0.0,5.0,26201.97682735812
2.0,1.0,3.0,1.0,1.0,1.0,5.0,24883.878276673106
2.0,1.0,3.0,1.0,1.0,2.0,5.0,24903.875851885914
2.0,1.0,3.0,1.0,1.0,3.0,5.0,24878.101062116988
2.0,1.0,3.0,2.0,1.0,0.0,5.0,26287.058622375444
2.0,1.0,3.0,2.0,1.0,1.0,5.0,24882.595779344287
2.0,1.0,3.0,2.0,1.0,2.0,5.0,24877.78183015546
2.0,1.0,3.0,2.0,1.0,3.0,5.0,24872.165591173194
2.0,1.0,3.0,3.0,1.0,0.0,5.0,26096.387907680604
2.0,1.0,3.0,3.0,1.0,1.0,5.0,24882.312881700716
2.0,1.0,3.0,3.0,1.0,2.0,5.0,24879.64456149858
2.0,1.0,3.0,3.0,1.0,3.0,5.0,24862.19990406129
3.0,1.0,0.0,0.0,1.0,0.0,5.0,28415.707264006873
3.0,1.0,0.0,0.0,1.0,1.0,5.0,24912.767415860704
3.0,1.0,0.0,0.0,1.0,2.0,5.0,24878.713724686502
3.0,1.0,0.0,0.0,1.0,3.0,5.0,24877.43359805608
3.0,1.0,0.0,1.0,1.0,0.0,5.0,26896.751760518033
3.0,1.0,0.0,1.0,1.0,1.0,5.0,24880.541416607542
3.0,1.0,0.0,1.0,1.0,2.0,5.0,24865.94249058471
3.0,1.0,0.0,1.0,1.0,3.0,5.0,24874.72798671671
3.0,1.0,0.0,2.0,1.0,0.0,5.0,26284.33204729893
3.0,1.0,0.0,2.0,1.0,1.0,5.0,24879.304310525116
3.0,1.0,0.0,2.0,1.0,2.0,5.0,24874.455168284494
3.0,1.0,0.0,2.0,1.0,3.0,5.0,24868.982741371867
3.0,1.0,0.0,3.0,1.0,0.0,5.0,26093.11586415868
3.0,1.0,0.0,3.0,1.0,1.0,5.0,24879.064427351783
3.0,1.0,0.0,3.0,1.0,2.0,5.0,24876.24570562882
3.0,1.0,0.0,3.0,1.0,3.0,5.0,24857.716022527955
3.0,1.0,1.0,0.0,1.0,0.0,5.0,28417.1141966189
3.0,1.0,1.0,0.0,1.0,1.0,5.0,24914.522828174857
3.0,1.0,1.0,0.0,1.0,2.0,5.0,24880.317315045435
3.0,1.0,1.0,0.0,1.0,3.0,5.0,24878.956822835004
3.0,1.0,1.0,1.0,1.0,0.0,5.0,26898.69613084678
