method,alpha,beta,value
estimated,0.11,0.13999999999999999,18728.86141382568
estimated,0.11,0.14999999999999997,18710.995427498932
estimated,0.11,0.15999999999999998,18691.206544008674
estimated,0.11,0.16999999999999998,18670.29822568163
estimated,0.11,0.17999999999999997,18649.1433816678
estimated,0.11,0.18999999999999995,18628.58123612721
estimated,0.11,0.19999999999999996,18609.32967572694
estimated,0.11,0.20999999999999996,18591.93473837035
estimated,0.11,0.21999999999999995,18576.758903166025
estimated,0.11,0.22999999999999995,18563.99800936047
estimated,0.11,0.23999999999999994,18553.71320329654
estimated,0.11,0.24999999999999992,18545.86644547383
estimated,0.11,0.2599999999999999,18540.352456856035
estimated,0.11,0.2699999999999999,18537.02414544347
estimated,0.11,0.2799999999999999,18535.711420322703
estimated,0.11,0.2899999999999999,18536.23473202814
estimated,0.11,0.29999999999999993,18538.415020890505
estimated,0.11,0.30999999999999994,18542.081466669973
estimated,0.11,0.3199999999999999,18547.07789031448
estimated,0.11,0.32999999999999985,18553.268112052556
estimated,0.11,0.33999999999999986,18560.540151973775
estimated,0.11,0.34999999999999987,18568.80892577178
estimated,0.11,0.3599999999999999,18578.017044256674
estimated,0.11,0.3699999999999999,18588.13344514519
estimated,0.11,0.3799999999999999,18599.149821913095
estimated,0.11,0.3899999999999999,18611.07510377293
estimated,0.11,0.3999999999999998,18623.928513070605
estimated,0.11,0.4099999999999998,18637.7319193112
estimated,0.11,0.4199999999999998,18652.502281849273
estimated,0.11,0.4299999999999998,18668.244916749176
estimated,0.11,0.43999999999999984,18684.94815944402
estimated,0.11,0.44999999999999984,18702.57976800499
estimated,0.11,0.45999999999999985,18721.085174667034
estimated,0.11,0.46999999999999986,18740.38749238607
estimated,0.11,0.47999999999999976,18760.389047286037
estimated,0.11,0.48999999999999977,18780.97414512003
estimated,0.11,0.4999999999999998,18802.012779264736
estimated,0.11,0.5099999999999998,18823.365025839128
estimated,0.11,0.5199999999999998,18844.88592166177
estimated,0.11,0.5299999999999998,18866.43065857697
estimated,0.11,0.5399999999999998,18887.859941902392
estimated,0.11,0.5499999999999998,18909.04534630731
estimated,0.11,0.5599999999999997,18929.874469308677
estimated,0.11,0.5699999999999997,18950.25564455835
estimated,0.11,0.5799999999999997,18970.121950222987
estimated,0.11,0.5899999999999997,18989.434246435714
estimated,0.11,0.5999999999999998,19008.183007795742
estimated,0.11,0.6099999999999998,19026.388782676975
estimated,0.11,0.6199999999999998,19044.101204176943
estimated,0.11,0.6299999999999997,19061.39658602086
estimated,0.11,0.6399999999999997,19078.37424623781
estimated,0.11,0.6499999999999997,19095.151797227936
estimated,0.11,0.6599999999999997,19111.85971244853
estimated,0.11,0.6699999999999997,19128.63551860352
estimated,0.11,0.6799999999999997,19145.617967864324
estimated,0.11,0.6899999999999997,19162.94151800553
estimated,0.11,0.6999999999999996,19180.73139655953
estimated,0.11,0.7099999999999996,19199.09945685232
estimated,0.11,0.7199999999999996,19218.140956932184
estimated,0.11,0.7299999999999996,19237.932317032908
estimated,0.11,0.7399999999999997,19258.52984250658
estimated,0.11,0.7499999999999997,19279.969343363813
estimated,0.11,0.7599999999999997,19302.26654008862
estimated,0.11,0.7699999999999997,19325.4181196975
estimated,0.11,0.7799999999999997,19349.403294556872
estimated,0.11,0.7899999999999996,19374.18571752956
estimated,0.11,0.7999999999999996,19399.715617630463
estimated,0.11,0.8099999999999996,19425.932037770977
estimated,0.11,0.8199999999999996,19452.76507748508
estimated,0.11,0.8299999999999996,19480.138066026182
estimated,0.11,0.8399999999999996,19507.969613288908
estimated,0.11,0.8499999999999996,19536.175505151634
estimated,0.11,0.8599999999999995,19564.670426484547
estimated,0.11,0.8699999999999996,19593.369506315317
estimated,0.11,0.8799999999999996,19622.18968815609
estimated,0.11,0.8899999999999996,19651.05093217873
estimated,0.11,0.8999999999999996,19679.87725668004
estimated,0.11,0.9099999999999996,19708.597624503094
estimated,0.11,0.9199999999999996,19737.14667709628
estimated,0.11,0.9299999999999996,19765.465315232355
estimated,0.11,0.9399999999999996,19793.501122396276
estimated,0.11,0.9499999999999995,19821.208625121726
estimated,0.11,0.9599999999999995,19848.54938452202
estimated,0.11,0.9699999999999995,19875.49191525081
estimated,0.11,0.9799999999999995,19902.011432090607
estimated,0.11,0.9899999999999995,19928.089429628904
estimated,0.12,0.1,18403.520581548193
estimated,0.12,0.11,18397.96576276948
estimated,0.12,0.12,18388.458831169854
estimated,0.12,0.13,18375.8052656185
estimated,0.12,0.13999999999999999,18360.719190060958
estimated,0.12,0.14999999999999997,18343.956161991595
estimated,0.12,0.15999999999999998,18326.33708907469
estimated,0.12,0.16999999999999998,18308.69648372538
